Numero,Nombre,Descripcion,Altura,Peso,Categoria,Tipo Primario,Tipo Secundario
123,Scyther,"Es espectacular ver lo rápido que es Scyther. Su increíble velocidad refuerza el efecto del par de guadañas que tiene en los brazos, que ya son de por sí contundentes; rebanan gruesos troncos de un tajo.",1.5 m,56.0 kg,Mantis,Bicho,Volador
124,Jynx,"Jynx camina con ritmo, balanceándose y moviendo las caderas como si estuviera bailando. Realiza unos movimientos tan vistosos y atractivos que no hay quien pueda resistirse a mover las caderas.",1.4 m,40.6 kg,Forma Humana,Hielo,Psíquico
125,Electabuzz,"Al desatarse una tormenta, bandadas de estos Pokémon se enfrentan entre sí para ver quién alcanza antes sitios altos en los que suelan caer rayos. Hay ciudades que usan Electabuzz en lugar de pararrayos.",1.1 m,30.0 kg,Eléctrico,Eléctrico,
126,Magmar,"Al luchar, Magmar expulsa violentas llamas por todo el cuerpo para intimidar a su rival. Estos estallidos de fuego crean ondas de calor que abrasan la hierba y los árboles que haya en las proximidades.",1.3 m,44.5 kg,Escupefuego,Fuego,
127,Pinsir,"Pinsir es sorprendentemente fuerte. Puede agarrar con los cuernos a un rival que pese el doble que él y levantarlo por los aires. En zonas frías, los movimientos de este Pokémon se vuelven lentos.",1.7 m,59.0 kg,Escarabajo,Bicho,Volador
128,Tauros,"Este Pokémon no está contento a menos que esté continuamente de aquí para allá. Si no hay rival que luche contra Tauros, se estampa contra árboles grandes para calmarse y los embiste para echarlos abajo.",1.4 m,88.4 kg,Toro Bravo,Normal,
129,Magikarp,"Magikarp es el triste ejemplo de un Pokémon capaz únicamente de saltar y salpicar. Esta conducta llevó a científicos a estudiarlo en profundidad.",0.9 m,10.0 kg,Pez,Agua,
130,Gyarados,"Cuando Magikarp evoluciona y se convierte en Gyarados, sufre un cambio estructural en las células del cerebro. Dicen que esa transformación es la causa de la naturaleza violenta y salvaje de este Pokémon.",6.5 m,305.0 kg,Atrocidad,Agua,Siniestro
131,Lapras,"Por culpa de la gente, Lapras está casi en extinción. Dicen que, al anochecer, se pone a cantar quejicoso mientras busca a los miembros de su especie que puedan quedar.",2.5 m,220.0 kg,Transporte,Agua,Hielo
132,Ditto,"Ditto reorganiza la estructura de sus células para adoptar otras formas. Pero, como intente transformarse en algo guiándose por los datos que tenga almacenados en la memoria, habrá detalles que se le escapen.",0.3 m,4.0 kg,Transform.,Normal,
133,Eevee,"La configuración genética de Eevee le permite mutar y adaptarse enseguida a cualquier medio en el que viva. La evolución de este Pokémon suele ser posible gracias a las radiaciones emitidas por varias piedras.",0.3 m,6.5 kg,Evolución,Normal,
134,Vaporeon,"Vaporeon sufrió una mutación repentina y desarrolló aletas y branquias que le permiten vivir bajo el agua. Asimismo, este Pokémon tiene la habilidad de controlar las aguas.",1.0 m,29.0 kg,Burbuja,Agua,
135,Jolteon,"Las células de Jolteon generan un nivel bajo de electricidad, cuya intensidad aumenta con la electricidad estática que acumula en un pelaje formado por agujas cargadas de electricidad. Esta característica le permite lanzar rayos.",0.8 m,24.5 kg,Relámpago,Eléctrico,
136,Flareon,"La suavidad del pelaje de Flareon tiene una función clara: libera calor para que el Pokémon no se asfixie. La temperatura corporal de este Pokémon puede alcanzar los 900 °C.",0.9 m,25.0 kg,Llama,Fuego,
137,Porygon,"Porygon es capaz de convertirse otra vez en datos informáticos y de entrar en el ciberespacio. Tiene protección anticopia, así que es imposible duplicarlo.",0.8 m,36.5 kg,Virtual,Normal,
138,Omanyte,"Omanyte es uno de esos Pokémon ancestrales que se extinguieron hace muchísimo tiempo y que la gente ha recuperado a partir de fósiles. Si un enemigo le ataca, se esconderá dentro de la dura concha que tiene.",0.4 m,7.5 kg,Espiral,Roca,Agua
139,Omastar,"Omastar usa los tentáculos para atrapar a su presa. Se cree que el motivo de su extinción fue el tamaño y el peso que llegó a alcanzar la concha que lleva a cuestas, lo que le entorpeció y ralentizó los movimientos.",1.0 m,35.0 kg,Espiral,Roca,Agua
140,Kabuto,"Kabuto es un Pokémon regenerado a partir de un fósil, aunque, en raras ocasiones, se han encontrado casos de ejemplares vivos en estado salvaje. En 300 millones de años, este Pokémon no ha cambiado en nada.",0.5 m,11.5 kg,Marisco,Roca,Agua
141,Kabutops,"Hace mucho tiempo, Kabutops buceaba para atrapar a sus presas. Parece ser que en algún momento cambió de hábitat y se adaptó a vivir en tierra firme. La transformación que se aprecia en las patas y branquias así lo confirma.",1.3 m,40.5 kg,Marisco,Roca,Agua
142,Aerodactyl,"Los orígenes de Aerodactyl datan de la era de los dinosaurios. Se regeneró a partir de material genético contenido en ámbar. Se supone que fue el amo de los cielos en épocas pasadas.",2.1 m,79.0 kg,Fósil,Roca,Volador
143,Snorlax,"Un día cualquiera en la vida de Snorlax consiste en comer y dormir. Es un Pokémon tan dócil que es fácil ver niños usando la gran panza que tiene como lugar de juegos.",2.1 m,460.0 kg,Dormir,Normal,
144,Articuno,"Articuno es un Pokémon pájaro legendario que puede controlar el hielo. El batir de sus alas congela el aire. Dicen que consigue hacer que nieve cuando vuela.",1.7 m,55.4 kg,Congelar,Hielo,Volador
145,Zapdos,"Zapdos es un Pokémon pájaro legendario que tiene la habilidad de controlar la electricidad. Suele vivir en nubarrones. Este Pokémon gana mucha fuerza si le alcanzan los rayos.",1.6 m,52.6 kg,Eléctrico,Eléctrico,Volador
146,Moltres,"Moltres es un Pokémon pájaro legendario que tiene la habilidad de controlar el fuego. Dicen que, si resulta herido, se sumerge en el líquido magma de un volcán para arder y curarse.",2.0 m,60.0 kg,Llama,Fuego,Volador
147,Dratini,"Dratini muda y se despoja de la vieja piel continuamente. Es algo que necesita hacer porque la energía que tiene en su interior no para de alcanzar niveles incontrolables.",1.8 m,3.3 kg,Dragón,Dragón,
148,Dragonair,"Dragonair acumula grandes cantidades de energía dentro de sí. Dicen que altera el clima de la zona en la que está descargando energía a través de las esferas de cristal que tiene en el cuello y en la cola.",4.0 m,16.5 kg,Dragón,Dragón,
149,Dragonite,"Dragonite es capaz de dar la vuelta al mundo en solo 16 horas. Es un Pokémon de buen corazón que guía hasta tierra a los barcos que se encuentran perdidos en plena tormenta y a punto de zozobrar.",2.2 m,210.0 kg,Dragón,Dragón,Volador
150,Mewtwo,"Mewtwo fue creado por manipulación genética. Pero, a pesar de que el hombre creó su cuerpo, dotar a Mewtwo de un corazón compasivo quedó en el olvido.",1.5 m,33.0 kg,Genético,Psíquico,Psíquico
151,Mew,"Dicen que Mew posee el mapa genético de todos los Pokémon. Puede hacerse invisible cuando quiere, así que pasa desapercibido cada vez que se le acerca alguien.",0.4 m,4.0 kg,N. Especie,Psíquico,
152,Chikorita,"Al luchar, Chikorita agita la hoja que tiene para mantener a raya al rival. Pero, al mismo tiempo, libera una suave fragancia que apacigua el encuentro y crea un ambiente agradable y de amistad.",0.9 m,6.4 kg,Hoja,Planta,
153,Bayleef,"Bayleef tiene un collar de hojas alrededor del cuello y un brote de un árbol en cada una de ellas. La fragancia que desprenden estos brotes anima a la gente.",1.2 m,15.8 kg,Hoja,Planta,
154,Meganium,"La fragancia de la flor de Meganium aplaca y suaviza los ánimos. Al luchar, este Pokémon libera mayor cantidad de esencia para disminuir el ánimo de combate de su oponente.",1.8 m,100.5 kg,Hierba,Planta,
155,Cyndaquil,"Cyndaquil se protege soltando llamas por el lomo. Cuando está enfadado, las llamas son fieras, pero, si está cansado, solo consigue echar algunas chispas que no llegan a cuajar en una completa combustión.",0.5 m,7.9 kg,Ratón Fuego,Fuego,
156,Quilava,"Quilava mantiene a sus rivales a raya con la intensidad de sus llamas y las ráfagas de aire ígneo que producen. También aprovecha su espectacular agilidad para esquivar ataques a la vez que abrasa al rival con sus llamas.",0.9 m,19.0 kg,Volcán,Fuego,
157,Typhlosion,"Typhlosion se oculta tras un trémulo haz de calor que crea mediante sus intensas y sofocantes llamaradas. Este Pokémon causa explosiones de fuego que reducen todo a cenizas.",1.7 m,79.5 kg,Volcán,Fuego,
158,Totodile,"Totodile tiene cuerpo pequeño, pero fuertes mandíbulas. A veces, piensa que solo está dando un mordisquito y hace unas heridas bastante considerables.",0.6 m,9.5 kg,Fauces,Agua,
159,Croconaw,"Una vez que Croconaw le ha clavado los colmillos a su presa, es imposible que escape porque los tiene hacia adentro como si fueran anzuelos. Cuando Croconaw hinca los dientes, no hay escapatoria.",1.1 m,25.0 kg,Fauces,Agua,
160,Feraligatr,"Feraligatr intimida a sus oponentes abriendo las grandes fauces que tiene. En combate, golpea el suelo bruscamente con las gruesas y fuertes patas traseras que tiene para cargar contra su rival a una velocidad de vértigo.",2.3 m,88.8 kg,Fauces,Agua,
161,Sentret,"Sentret no duerme a menos que otro haga guardia. El que hace de centinela lo despertará al mínimo signo de peligro. Cuando este Pokémon se separa de su manada, es incapaz de echarse a dormir, presa del miedo.",0.8 m,6.0 kg,Explorador,Normal,
162,Furret,"Furret es de constitución muy delgada. En combate le resulta útil porque puede escabullirse con habilidad por cualquier huequito y escapar. A pesar de que tiene patas cortas, es ágil y veloz.",1.8 m,32.5 kg,Alargado,Normal,
163,Hoothoot,"Hoothoot tiene un órgano interno que identifica y percibe la rotación de la tierra. Gracias a este órgano, el Pokémon ulula todos los días a la misma hora.",0.7 m,21.2 kg,Búho,Normal,Volador
164,Noctowl,"Noctowl no falla a la hora de cazar a su presa en la oscuridad. El éxito se lo debe a una vista privilegiada, que le permite ver donde apenas hay luz, y a las ligeras y flexibles alas que tiene, que no hacen ruido alguno al volar.",1.6 m,40.8 kg,Búho,Normal,Volador
165,Ledyba,"Ledyba segrega un fluido aromático por los seis puntos de unión que tiene entre las patas y el cuerpo. A través de este fluido se comunica con otros y les informa acerca de sus sentimientos variando la esencia.",1.0 m,10.8 kg,5 Estrellas,Bicho,Volador
166,Ledian,"Dicen que en zonas en las que el aire está limpio, en las que se ven las estrellas, hay enormes poblaciones de Ledian. La razón es muy sencilla: este Pokémon usa la luz de las estrellas como fuente de energía.",1.4 m,35.6 kg,5 Estrellas,Bicho,Volador
167,Spinarak,"La tela que teje Spinarak puede considerarse como su segundo sistema nervioso. Dicen que puede adivinar qué tipo de presa ha caído en su red con solo observar las leves vibraciones de los hilos de la tela.",0.5 m,8.5 kg,Escupesoga,Bicho,Veneno
168,Ariados,"Ariados tiene unas patas con forma de garfio que le permiten correr por techos y superficies verticales. Este Pokémon oprime al rival con una tela de araña fina y resistente.",1.1 m,33.5 kg,Pata Larga,Bicho,Veneno
169,Crobat,"Cuando este Pokémon vuela batiendo solo las alas delanteras o traseras, es porque lleva volando bastante tiempo. Cuando se cansa, Crobat alterna las alas.",1.8 m,75.0 kg,Murciélago,Veneno,Volador
170,Chinchou,"Chinchou libera cargas eléctricas positivas y negativas a través de las dos antenas que tiene para que su rival pierda el conocimiento. Asimismo, usa los destellos de electricidad para comunicarse con otros.",0.5 m,12.0 kg,Rape,Agua,Eléctrico
171,Lanturn,"A Lanturn lo llaman la Estrella del Fondo del Mar por la antena iluminada que tiene. Este Pokémon produce luz creando una reacción química entre una bacteria y los fluidos corporales de la antena.",1.2 m,22.5 kg,Luz,Agua,Eléctrico
172,Pichu,"A Pichu le resulta más fácil cargarse de electricidad en días de nubarrones o cuando sopla un aire muy seco. Es posible oír la electricidad estática que emana de este Pokémon.",0.3 m,2.0 kg,Ratoncito,Eléctrico,
173,Cleffa,"Cuando hay lluvia de estrellas, a los Cleffa se les puede ver danzando en círculos durante toda la noche. Solo paran cuando rompe el día; entonces, dejan de bailar y calman su sed con el rocío de la mañana.",0.3 m,3.0 kg,Estrellada,Hada,
174,Igglybuff,"Las cuerdas vocales de Igglybuff no están suficientemente desarrolladas. Si tuviera que cantar mucho, se haría daño en la garganta. Este Pokémon suele hacer gárgaras con agua pura de manantial.",0.3 m,1.0 kg,Globo,Normal,Hada
175,Togepi,"Togepi usa los sentimientos positivos de compasión y alegría que desprenden las personas y los Pokémon. Este Pokémon almacena sentimientos de felicidad en su interior y después los comparte con otros.",0.3 m,1.5 kg,Bolaclavos,Hada,
176,Togetic,"Dicen que Togetic es un Pokémon que trae buena suerte y que, si detecta a alguien que es puro de corazón, sale para compartir su alegría con él.",0.6 m,3.2 kg,Felicidad,Hada,Volador
177,Natu,"Natu no puede volar porque las alas no le han crecido lo suficiente. Si alguien cruza la mirada con él, se la devolverá fijamente, aunque, si hace el mínimo movimiento, huirá dando saltitos para ponerse a salvo.",0.2 m,2.0 kg,Pajarito,Psíquico,Volador
178,Xatu,"Xatu permanece de pie inmóvil y tranquilo en el mismo sitio durante todo el día. Se cree que no se mueve por temor a lo que ha visto que ocurrirá en el futuro.",1.5 m,15.0 kg,Místico,Psíquico,Volador
179,Mareep,"Mareep tiene un pelaje lanudo suave que produce carga estática por el roce. Cuanto más se carga de electricidad estática, más brilla la bombilla que tiene en el extremo de la cola.",0.6 m,7.8 kg,Lana,Eléctrico,
180,Flaaffy,"La calidad de la lana de Flaaffy varía para poder generar mucha electricidad estática con muy poca cantidad de lana. Las zonas suaves de la piel en las que no tiene pelaje están protegidas contra la electricidad.",0.8 m,13.3 kg,Lana,Eléctrico,
181,Ampharos,"Ampharos desprende tanta luz que es posible verle hasta desde el espacio. Antes, la gente usaba su luz como sistema de comunicación para enviarse señales.",1.4 m,61.5 kg,Luz,Eléctrico,Dragón
182,Bellossom,"Cuando Bellossom se expone a gran cantidad de luz solar, le empiezan a girar las hojas que le rodean. La danza de este Pokémon es famosa en las zonas del sur.",0.4 m,5.8 kg,Flor,Planta,
183,Marill,"La cola de Marill contiene un aceite que hace las veces de chaleco salvavidas. Si ves una moviéndose en el agua, seguro que debajo hay un Marill medio sumergido buscando plantas acuáticas para comer.",0.4 m,8.5 kg,Ratón Agua,Agua,Hada
184,Azumarill,"Azumarill puede hacer burbujas de aire si ve a algún Pokémon que esté a punto de ahogarse. Estas burbujas de aire son básicas para que los Pokémon puedan seguir respirando.",0.8 m,28.5 kg,Conejo Agua,Agua,Hada
185,Sudowoodo,"Sudowoodo se camufla adoptando la imagen de un árbol para que no le ataque ningún enemigo. El problema viene en invierno, ya que las extremidades superiores tienen color verde y es fácil identificarle.",1.2 m,38.0 kg,Imitación,Roca,
186,Politoed,"El mechón rizado de Politoed confirma su condición de rey. Dicen que cuanto más le crece y más se le riza, mayor es el respeto que recibe de sus súbditos.",1.1 m,33.9 kg,Rana,Agua,
187,Hoppip,"Este Pokémon flota en el aire y se deja llevar. Cuando percibe que el viento va a cambiar a fuerte, Hoppip entrelaza sus hojas con otros Hoppip para hacer resistencia y evitar salir volando por la fuerza de la corriente.",0.4 m,0.5 kg,Algadón,Planta,Volador
188,Skiploom,"Skiploom florece cuando la temperatura llega a 18 °C. La apertura de los pétalos varía según la temperatura que haga. Por este motivo, la gente lo usa a veces a modo de termómetro.",0.6 m,1.0 kg,Algadón,Planta,Volador
189,Jumpluff,"Jumpluff se vale de los cálidos vientos del sur para volar a tierras lejanas. Si llega a zonas de aire frío en pleno vuelo, descenderá y tomará tierra.",0.8 m,3.0 kg,Algadón,Planta,Volador
190,Aipom,"La cola de Aipom termina en una especie de mano a la que, con un poco de cabeza, se le puede dar muy buen uso. Pero hay un problema: como se ha acostumbrado a usarla mucho, las de verdad se le han vuelto algo torponas.",0.8 m,11.5 kg,Cola Larga,Normal,
191,Sunkern,"Sunkern intenta moverse lo menos posible para conservar todos los nutrientes que ha guardado en su interior y poder evolucionar. Ni come siquiera; se alimenta solo del rocío de la mañana.",0.3 m,1.8 kg,Semilla,Planta,
192,Sunflora,"Sunflora transforma la energía solar en nutrientes. De día, cuando hace calor, está en continuo movimiento. Solo para cuando comienza a anochecer.",0.8 m,8.5 kg,Sol,Planta,
193,Yanma,"Yanma tiene un ángulo de visión de 360° sin mover los ojos. Es un gran volador, experto en hacer repentinas paradas y cambios de dirección en el aire. Aprovecha la habilidad que tiene de volar para lanzarse sobre su presa.",1.2 m,38.0 kg,Ala Clara,Bicho,Volador
194,Wooper,"Wooper suele vivir en el agua, pero es posible también verle en tierra en busca de comida. Cuando está en terreno firme, se cubre con una película viscosa tóxica.",0.4 m,8.5 kg,Pez Agua,Agua,Tierra
195,Quagsire,"Quagsire caza dejando las fauces abiertas en el agua y esperando a que su presa entre sin darse cuenta. Como se queda quieto, el Pokémon no pasa mucha hambre.",1.4 m,75.0 kg,Pez Agua,Agua,Tierra
196,Espeon,"Espeon es tremendamente leal al Entrenador al que considera digno de ello. Dicen que este Pokémon desarrolló sus poderes adivinatorios para evitar que su Entrenador sufra daño alguno.",0.9 m,26.5 kg,Sol,Psíquico,
197,Umbreon,"Umbreon evolucionó tras haber estado expuesto a ondas lunares. Suele esconderse en la oscuridad en silencio y esperar a que su presa se mueva. Cuando se lanza al ataque, le brillan los anillos del cuerpo.",1.0 m,27.0 kg,Luz Lunar,Siniestro,
198,Murkrow,"Murkrow ha sido temido y repudiado por todos por ser supuestamente fuente de mala suerte. Este Pokémon siente debilidad por todo lo que brilla y resplandece. A las mujeres les roba los anillos.",0.5 m,2.1 kg,Oscuridad,Siniestro,Volador
199,Slowking,"Slowking dedica cada día tiempo a investigar, en un intento por resolver los misterios del mundo. Aunque, según parece, a este Pokémon se le olvida todo lo que ha aprendido si se separa del Shellder que lleva en la cabeza.",2.0 m,79.5 kg,Regio,Agua,Psíquico
200,Misdreavus,"Misdreavus asusta a la gente con un chillido escalofriante y sollozante. Y, al parecer, usa las esferas rojas para absorber los sentimientos de miedo de los enemigos y usarlos como alimento.",0.7 m,1.0 kg,Chirrido,Fantasma,
201,Unown,"Estos Pokémon tienen forma de caracteres antiguos. No se sabe qué surgió primero, si la vieja escritura o los distintos Unown. Esta cuestión sigue siendo objeto de estudio, pero aún no se ha averiguado nada.",0.5 m,5.0 kg,Símbolo,Psíquico,
202,Wobbuffet,"Si dos o más Wobbuffet se encuentran, se volverán competitivos e intentarán superarse en resistencia. Pero también puede que intenten aguantar sin comer; algo que los Entrenadores deben tener muy en cuenta.",1.3 m,28.5 kg,Paciente,Psíquico,
203,Girafarig,"Girafarig tiene un cerebro también en la cabeza de la cola que reacciona atacando ante olores y sonidos. Cuando alguien se acerca a este Pokémon por la espalda, puede provocar que la cabeza trasera se abalance y lo muerda.",1.5 m,41.5 kg,Gran Cuello,Normal,Psíquico
204,Pineco,"Pineco permanece colgado de la rama de un árbol esperando pacientemente a su presa. Si alguien sacude el árbol en el que está mientras come y le molesta, se tira al suelo y explota sin dar ningún tipo de aviso.",0.6 m,7.2 kg,Larva,Bicho,
205,Forretress,"Forretress se esconde dentro de su concha de acero reforzada. Solo la abre cuando va a atrapar a su presa, pero ocurre tan rápido que no da tiempo de ver su interior.",1.2 m,125.8 kg,Larva,Bicho,Acero
206,Dunsparce,"La cola de Dunsparce es un taladro que usa para enterrarse en el suelo de espaldas. De todos es sabido que este Pokémon hace su nido a gran profundidad y con una forma muy compleja.",1.5 m,14.0 kg,Serptierra,Normal,
207,Gligar,"Gligar planea por el aire sin hacer ningún ruido, como si fuera patinando. Este Pokémon se agarra a la cara de su rival con las patas traseras, con forma de garra, y las pinzas de las delanteras y le inyecta veneno por el aguijón.",1.1 m,64.8 kg,Escorpiala,Tierra,Volador
208,Steelix,"Steelix vive a mayor profundidad aún que Onix. Se le conoce por su tendencia a excavar hacia el interior del planeta. Hay datos que muestran que este Pokémon ha llegado a alcanzar 1 km de profundidad.",10.5 m,740.0 kg,Serpférrea,Acero,Tierra
209,Snubbull,"Al tener los colmillos por fuera, Snubbull da miedo y espanta a los Pokémon pequeños, que huyen aterrados. Parece que a él le da un poco de pena que salgan huyendo.",0.6 m,7.8 kg,Hada,Hada,
210,Granbull,"Granbull tiene la mandíbula inferior demasiado desarrollada y colmillos enormes y pesados que le obligan a inclinar la cabeza hacia atrás para compensar el peso. Si no se le asusta, no muerde.",1.4 m,48.7 kg,Hada,Hada,
211,Qwilfish,"Qwilfish bebe agua y se hincha, y a continuación usa la presión del agua que ha tragado para lanzar púas tóxicas por todo el cuerpo. Para este Pokémon nadar es una especie de desafío.",0.5 m,3.9 kg,Globo,Agua,Veneno
212,Scizor,"Scizor tiene un cuerpo duro como el acero que no es fácil de alterar con ningún ataque común. Este Pokémon bate las alas para regular la temperatura corporal.",2.0 m,125.0 kg,Tenaza,Bicho,Acero
213,Shuckle,"Shuckle permanece escondido bajo las rocas en silencio y, cuando se pone a comer las bayas que almacena, se encierra en el caparazón. Las bayas se mezclan con sus fluidos corporales y originan zumo.",0.6 m,20.5 kg,Moho,Bicho,Roca
214,Heracross,"Heracross carga en línea recta contra el enemigo, se le queda encajado por debajo, lo agarra y lo lanza con ayuda del fuerte cuerno que tiene. Este Pokémon tiene fuerza hasta para echar abajo un árbol descomunal.",1.7 m,62.5 kg,Unicornio,Bicho,Lucha
215,Sneasel,"Sneasel trepa por los árboles agarrándose a la corteza con las garras curvas que tiene. Este Pokémon busca nidos desprovistos de vigilancia paterna para robar los huevos y comérselos.",0.9 m,28.0 kg,Garra Filo,Siniestro,Hielo
216,Teddiursa,"A Teddiursa le encanta chuparse las palmas impregnadas de dulce miel. Este Pokémon fabrica su propia miel mezclando frutos y el polen que recoge Beedrill.",0.6 m,8.8 kg,Osito,Normal,
217,Ursaring,"En los bosques habitados por Ursaring, dicen que abundan los arroyos y árboles gigantes en los que guardan su alimento. Este Pokémon se dedica todos los días a pasear por el bosque para buscar comida y guardarla.",1.8 m,125.8 kg,Hibernante,Normal,
218,Slugma,"Por el sistema circulatorio de Slugma corre magma líquido. Si este Pokémon se enfriara, el magma perdería el calor y se solidificaría, por lo que se resquebrajaría por completo, perdería algunos trozos y reduciría su tamaño.",0.7 m,35.0 kg,Lava,Fuego,
219,Magcargo,"La coraza de Magcargo es en realidad su propia piel que quedó endurecida al enfriarse. Está muy resquebrajada y es muy frágil; se desharía solo con tocarla. Este Pokémon debe sumergirse en magma para recuperar su forma.",0.8 m,55.0 kg,Lava,Fuego,Roca
220,Swinub,"Swinub busca el alimento frotando el hocico contra el suelo. Su comida preferida es una seta que crece bajo la hierba marchita. A veces, al frotar, descubre fuentes termales.",0.4 m,6.5 kg,Cerdo,Hielo,Tierra
221,Piloswine,"Piloswine está cubierto por un pelaje tupido y de largas cerdas que le permite soportar el frío polar. Este Pokémon usa los colmillos para desenterrar los alimentos que hayan podido quedar bajo el hielo.",1.1 m,55.8 kg,Puerco,Hielo,Tierra
222,Corsola,"Las ramas de Corsola brillan con belleza hasta en siete colores cuando les da el sol. Si se le rompe alguna, el Pokémon la regenera en tan solo una noche.",0.6 m,5.0 kg,Coral,Agua,Roca
223,Remoraid,"Remoraid traga agua y usa los abdominales para lanzarla a gran velocidad contra una presa que esté en el aire. Cuando está a punto de evolucionar, este Pokémon nada en los ríos corriente abajo.",0.6 m,12.0 kg,Reactor,Agua,
224,Octillery,"Octillery se apodera de su enemigo con los tentáculos y lo deja inmovilizado antes de propinarle el golpe final. Si el enemigo resulta ser demasiado fuerte, Octillery expulsará tinta para escapar.",0.9 m,28.5 kg,Reactor,Agua,
225,Delibird,"Delibird usa la cola a modo de saco para llevar su alimento. En una ocasión, un famoso escalador consiguió alcanzar la cima más alta del mundo gracias a que uno de estos Pokémon compartió sus alimentos con él.",0.9 m,16.0 kg,Reparto,Hielo,Volador
226,Mantine,"En los días que hace sol, es posible ver bancos de Mantine saltando con elegancia por entre las olas del mar. A estos Pokémon no les molestan los Remoraid que se les pegan.",2.1 m,220.0 kg,Milano,Agua,Volador
227,Skarmory,"Skarmory está totalmente encerrado en el interior de una fuerte coraza protectora. En vuelo, puede llegar a alcanzar los 300 km/h y usa las afiladas alas que tiene para azotar al rival.",1.7 m,50.5 kg,Coraza Ave,Acero,Volador
228,Houndour,"Houndour sale a cazar con el resto de la manada con total coordinación. Estos Pokémon se comunican unos con otros usando una serie de aullidos para acorralar a su presa. El compañerismo que existe entre ellos es incomparable.",0.6 m,10.8 kg,Siniestro,Siniestro,Fuego
229,Houndoom,"En la manada de Houndoom, el que tiene los cuernos más arqueados hacia atrás tiene un mayor papel de liderazgo. Estos Pokémon suelen elegir al jefe en duelo.",1.9 m,49.5 kg,Siniestro,Siniestro,Fuego
230,Kingdra,"Kingdra vive en lo más profundo del océano, donde no habita ninguna otra especie. Siempre se ha pensado que su bostezo causaba las corrientes en remolino que se dan en el océano.",1.8 m,152.0 kg,Dragón,Agua,Dragón
231,Phanpy,"Phanpy cava un agujero profundo para hacer su nido en el suelo, en la ribera de los ríos, y marca con la trompa la zona para que el resto vea que ese terreno ya está ocupado.",0.5 m,33.5 kg,Narizotas,Tierra,
232,Donphan,"A Donphan le encanta enrollarse como una pelota y cargar contra el enemigo rodando a toda velocidad. Una vez que ha comenzado a rodar, no es fácil pararlo.",1.1 m,120.0 kg,Coraza,Tierra,
233,Porygon2,"Porygon2 fue creado por el hombre gracias a los avances de la ciencia. Esta obra humana ha sido provista de inteligencia artificial que le permite aprender gestos y sensaciones nuevas por su cuenta.",0.6 m,32.5 kg,Virtual,Normal,
234,Stantler,"Hace tiempo, se comerciaba con la magnífica cornamenta de Stantler. Se vendía como obra de arte a alto precio. Los interesados en cornamentas de valor incalculable empezaron a cazarlos y casi provocan su extinción.",1.4 m,71.2 kg,Gran Cuerno,Normal,
235,Smeargle,"Smeargle marca los límites de su territorio liberando un fluido corporal por el extremo de la cola. En la actualidad se han encontrado más de 5000 tipos de marcas distintas dejadas por este Pokémon.",1.2 m,58.0 kg,Pintor,Normal,
236,Tyrogue,"Tyrogue se pone demasiado nervioso si no lo sacan a entrenarse cada día. Su Entrenador debe establecer y mantener ciertos métodos de entrenamiento durante la cría.",0.7 m,21.0 kg,Peleón,Lucha,
237,Hitmontop,"Hitmontop hace el pino con la cabeza y se pone a girar rápido al tiempo que reparte patadas. Esta es una técnica ofensiva y defensiva a la vez. Este Pokémon se desplaza más rápido girando sobre sí que caminando.",1.4 m,48.0 kg,Boca Abajo,Lucha,
238,Smoochum,"Smoochum va corriendo por todos lados, pero se cae también con frecuencia. Y, en cuanto tiene ocasión, se mira en algún sitio para ver si se ha manchado la cara.",0.4 m,6.0 kg,Beso,Hielo,Psíquico
239,Elekid,"Elekid acumula electricidad. Si entra en contacto con algo de metal y descarga accidentalmente toda la electricidad almacenada, empieza a agitar los brazos en círculo para volver a cargarse.",0.6 m,23.5 kg,Eléctrico,Eléctrico,
240,Magby,"El estado de salud de Magby se puede determinar observando el fuego que emana al respirar. Si las llamas que echa por la boca son amarillas, está bien. Pero, si además de las llamas sale humo negro, está cansado.",0.7 m,21.4 kg,Ascuas,Fuego,
241,Miltank,"Miltank da al día 20 l de una leche dulce que es la delicia de pequeños y mayores. Aquellos que no pueden tomarla, se decantan por los yogures.",1.2 m,75.5 kg,Lechera,Normal,
242,Blissey,"Blissey es capaz de sentir la tristeza a través del sedoso pelaje. Si detecta que alguien está apenado, irá hasta donde esté y compartirá un Huevo Suerte para devolverle la sonrisa.",1.5 m,46.8 kg,Felicidad,Normal,
243,Raikou,"Raikou tiene la velocidad del rayo. Los rugidos de este Pokémon emiten ondas de choque que se esparcen vibrando por el aire y sacuden el suelo como si fueran auténticas descargas de rayo.",1.9 m,178.0 kg,Trueno,Eléctrico,
244,Entei,"Entei contiene el fulgor del magma en su interior. Se cree que este Pokémon nació de la erupción de un volcán. Escupe numerosas ráfagas de fuego que devoran y reducen a cenizas todo lo que tocan.",2.1 m,198.0 kg,Volcán,Fuego,
245,Suicune,"Suicune emana la pureza de los manantiales. Suele corretear por el campo con gran elegancia. Este Pokémon tiene el poder de purificar el agua contaminada.",2.0 m,187.0 kg,Aurora,Agua,
246,Larvitar,"Larvitar nace bajo tierra a gran profundidad. Para subir a la superficie, este Pokémon debe comer lo que encuentra en su camino para abrirse paso. Y, hasta que no está arriba, no puede verles la cara a sus padres.",0.6 m,72.0 kg,Piel Roca,Roca,Tierra
